Label (Grouping),Total,"Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more",Median income (dollars),Mean income (dollars)
        Estimate,"2,145,605",1.20%,1.00%,2.90%,4.90%,9.90%,19.20%,17.70%,23.50%,10.10%,9.60%,"90,009","111,821"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,765,075",12.30%,8.00%,16.40%,13.80%,16.10%,16.70%,8.00%,5.80%,1.50%,1.50%,"34,626","48,115"
Oklahoma,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,493,569",6.70%,4.70%,10.70%,10.30%,14.10%,18.50%,12.50%,13.30%,4.80%,4.50%,"53,840","74,195"
    Families,,,,,,,,,,,,,
        Estimate,"975,207",4.30%,2.60%,6.90%,8.90%,13.00%,19.70%,14.90%,17.20%,6.40%,6.00%,"67,511","88,048"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"717,880",1.60%,1.30%,4.30%,6.80%,11.30%,20.40%,17.20%,21.10%,8.20%,7.80%,"80,901","102,089"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"518,362",12.50%,9.20%,18.60%,13.40%,16.20%,15.60%,6.90%,5.10%,1.40%,1.30%,"31,846","45,056"
Oregon,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,642,579",5.40%,3.80%,8.10%,8.70%,12.20%,18.10%,13.30%,16.20%,7.00%,7.20%,"65,667","88,137"
    Families,,,,,,,,,,,,,
        Estimate,"1,034,877",3.20%,1.70%,5.20%,6.90%,11.10%,18.20%,15.10%,19.90%,8.90%,9.60%,"80,630","103,600"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"793,578",1.30%,0.90%,3.30%,5.20%,9.50%,17.80%,16.30%,23.10%,10.70%,11.90%,"93,078","117,164"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"607,702",10.50%,7.80%,13.90%,12.20%,14.30%,17.50%,9.50%,8.80%,3.00%,2.50%,"40,246","56,988"
Pennsylvania,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"5,106,601",5.80%,4.00%,8.80%,9.00%,12.10%,17.60%,13.20%,15.70%,6.70%,7.10%,"63,627","87,262"
    Families,,,,,,,,,,,,,
        Estimate,"3,254,545",3.20%,2.00%,5.10%,6.90%,10.90%,18.00%,15.30%,19.90%,9.00%,9.80%,"80,996","105,058"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"2,423,060",1.10%,0.90%,2.70%,4.90%,9.10%,17.40%,16.70%,23.70%,11.20%,12.40%,"95,778","121,189"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,852,056",11.30%,7.90%,16.00%,13.30%,14.70%,16.60%,8.70%,7.10%,2.20%,2.10%,"36,247","52,451"
Rhode Island,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"414,730",5.60%,4.90%,8.10%,7.80%,10.80%,15.80%,13.30%,18.30%,7.80%,7.70%,"70,305","92,427"
    Families,,,,,,,,,,,,,
        Estimate,"257,849",3.00%,2.10%,4.90%,6.10%,9.30%,15.60%,15.00%,22.90%,10.60%,10.50%,"89,330","111,700"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"184,719",1.00%,0.90%,2.50%,3.80%,7.20%,14.40%,15.80%,27.60%,13.40%,13.50%,"106,989","129,862"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"156,881",10.70%,10.00%,13.90%,11.20%,13.20%,16.40%,10.00%,9.50%,2.70%,2.50%,"39,713","56,495"
South Carolina,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,961,481",7.40%,4.80%,9.90%,10.20%,13.50%,18.20%,12.40%,13.40%,5.20%,5.10%,"54,864","76,390"
    Families,,,,,,,,,,,,,
        Estimate,"1,280,623",4.30%,2.40%,7.10%,8.60%,12.70%,19.20%,14.60%,17.30%,7.00%,6.80%,"68,813","90,694"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"923,300",1.60%,1.10%,4.00%,6.20%,11.00%,19.40%,17.10%,21.60%,9.20%,9.00%,"84,090","107,092"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"680,858",14.20%,9.60%,16.20%,13.70%,15.10%,15.30%,7.40%,5.30%,1.60%,1.70%,"32,023","46,724"
South Dakota,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"347,878",5.30%,4.10%,8.70%,10.00%,13.60%,19.10%,14.60%,15.10%,5.10%,4.40%,"59,896","77,932"
    Families,,,,,,,,,,,,,
        Estimate,"218,705",3.50%,1.70%,5.10%,6.90%,11.30%,19.80%,18.10%,20.50%,7.10%,6.10%,"77,042","94,036"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"171,918",1.50%,0.60%,2.80%,4.80%,9.20%,19.80%,20.70%,24.50%,8.60%,7.40%,"87,799","105,931"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"129,173",9.10%,8.60%,15.50%,15.80%,18.30%,17.60%,7.70%,4.60%,1.40%,1.40%,"35,803","47,783"
Tennessee,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,639,455",6.70%,4.90%,10.00%,10.20%,13.90%,18.40%,12.50%,13.30%,4.90%,5.10%,"54,833","76,937"
    Families,,,,,,,,,,,,,
        Estimate,"1,726,939",4.10%,2.60%,7.00%,8.60%,12.90%,19.40%,15.00%,17.00%,6.60%,6.90%,"68,793","91,215"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,270,962",1.40%,1.30%,4.10%,6.60%,11.30%,19.90%,17.30%,20.90%,8.30%,8.90%,"82,255","106,188"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"912,516",12.60%,9.70%,16.60%,13.80%,15.90%,15.90%,7.10%,5.30%,1.60%,1.60%,"32,825","46,961"
Texas,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"9,906,070",6.00%,3.90%,8.40%,8.90%,12.30%,17.60%,12.50%,15.60%,7.00%,7.80%,"63,826","89,506"
    Families,,,,,,,,,,,,,
        Estimate,"6,838,900",3.90%,2.50%,6.50%,7.70%,11.40%,17.30%,13.60%,18.50%,8.70%,9.90%,"76,073","102,456"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"4,974,588",1.60%,1.30%,4.10%,5.70%,9.70%,16.50%,14.90%,22.20%,11.10%,12.90%,"93,037","120,041"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"3,067,170",11.90%,7.50%,13.50%,12.10%,14.70%,17.80%,9.20%,8.00%,2.60%,2.80%,"39,925","56,399"
Utah,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,003,345",3.60%,2.70%,6.10%,7.20%,11.80%,19.10%,15.40%,19.20%,7.80%,7.00%,"74,197","94,452"
    Families,,,,,,,,,,,,,
        Estimate,"746,286",2.10%,1.60%,3.90%,5.70%,10.30%,19.40%,17.20%,22.30%,9.30%,8.30%,"84,590","105,348"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"611,370",1.10%,1.00%,2.80%,4.40%,8.90%,18.70%,17.90%,24.90%,10.60%,9.70%,"92,965","114,559"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"257,059",9.10%,6.50%,13.20%,12.70%,16.80%,18.80%,9.50%,8.80%,2.40%,2.20%,"41,986","57,162"
Vermont,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"262,852",4.50%,4.90%,8.60%,8.90%,12.30%,18.30%,13.90%,16.40%,6.10%,6.00%,"63,477","83,767"
    Families,,,,,,,,,,,,,
        Estimate,"157,105",2.50%,1.80%,5.00%,6.40%,10.50%,18.30%,16.90%,21.60%,8.60%,8.40%,"83,023","102,413"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"124,107",1.20%,0.70%,3.20%,4.70%,8.40%,17.70%,18.40%,25.20%,10.40%,10.10%,"93,895","114,671"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"105,747",8.40%,9.90%,15.00%,13.20%,15.60%,17.70%,8.70%,7.30%,2.10%,2.10%,"37,947","52,318"
Virginia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"3,184,121",4.80%,3.30%,7.00%,7.10%,10.80%,16.30%,12.90%,17.20%,9.00%,11.60%,"76,398","106,023"
    Families,,,,,,,,,,,,,
        Estimate,"2,103,100",2.80%,1.60%,4.30%,5.80%,9.30%,15.70%,13.80%,20.10%,11.20%,15.30%,"93,284","123,883"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,598,945",1.00%,0.80%,2.50%,3.90%,7.30%,14.60%,14.50%,22.90%,13.40%,19.10%,"109,675","141,882"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,081,021",9.40%,6.70%,12.70%,10.20%,14.20%,17.40%,10.60%,10.70%,4.40%,3.70%,"46,317","67,167"
Washington,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,905,822",4.40%,3.10%,6.50%,6.90%,10.80%,17.10%,13.60%,18.20%,8.90%,10.50%,"77,006","103,669"
    Families,,,,,,,,,,,,,
        Estimate,"1,874,376",2.60%,1.60%,4.10%,5.10%,9.30%,16.50%,14.80%,21.40%,11.10%,13.50%,"92,422","120,270"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,456,242",1.00%,0.80%,2.30%,3.60%,7.50%,15.50%,15.60%,24.00%,13.20%,16.40%,"106,007","135,438"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,031,446",8.80%,6.20%,11.60%,10.60%,14.10%,18.20%,10.90%,11.10%,4.20%,4.30%,"48,399","67,798"
West Virginia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"734,235",8.50%,5.90%,12.30%,10.80%,14.20%,17.90%,11.60%,11.90%,3.90%,3.10%,"48,037","65,332"
    Families,,,,,,,,,,,,,
        Estimate,"470,391",5.20%,3.30%,8.20%,9.20%,14.00%,20.10%,14.60%,15.70%,5.40%,4.30%,"61,707","78,106"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"355,680",2.10%,1.80%,5.60%,7.50%,13.60%,21.20%,17.00%,19.10%,6.80%,5.30%,"72,682","89,118"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"263,844",15.90%,11.00%,20.10%,14.10%,14.40%,13.10%,5.30%,4.30%,0.90%,1.00%,"26,825","39,768"
Wisconsin,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,377,935",4.60%,4.10%,8.60%,9.00%,13.00%,18.90%,14.10%,16.30%,6.10%,5.20%,"63,293","82,757"
    Families,,,,,,,,,,,,,
        Estimate,"1,479,364",2.50%,1.80%,4.90%,6.60%,11.00%,19.10%,16.80%,21.50%,8.50%,7.40%,"80,844","100,128"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,148,599",0.90%,0.80%,2.70%,4.60%,9.00%,18.50%,18.50%,25.50%,10.40%,9.10%,"92,806","113,293"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"898,571",9.00%,8.30%,15.70%,13.60%,16.70%,18.30%,8.70%,6.60%,1.60%,1.50%,"37,792","50,628"
Wyoming,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"233,231",5.20%,3.70%,8.10%,8.80%,12.30%,18.20%,14.90%,17.50%,6.20%,5.00%,"65,304","83,583"
    Families,,,,,,,,,,,,,
        Estimate,"149,353",2.70%,1.60%,4.50%,6.20%,11.00%,19.10%,17.60%,22.20%,8.30%,6.60%,"81,290","98,307"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"121,166",1.20%,1.00%,2.80%,4.60%,9.30%,18.80%,19.40%,25.30%,9.70%,8.00%,"91,049","108,616"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"83,878",10.40%,7.70%,15.20%,14.20%,15.10%,16.50%,9.30%,7.70%,1.90%,1.90%,"37,385","53,835"
Puerto Rico,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,205,749",26.40%,11.70%,18.30%,12.40%,12.00%,10.20%,4.30%,2.90%,0.90%,1.00%,"21,058","33,315"
    Families,,,,,,,,,,,,,
        Estimate,"810,494",20.80%,9.70%,18.70%,13.90%,13.80%,12.10%,5.10%,3.60%,1.10%,1.20%,"25,468","37,911"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"450,566",9.90%,8.50%,18.40%,14.60%,16.30%,16.10%,7.20%,5.30%,1.70%,1.90%,"33,892","48,475"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"395,255",41.00%,16.20%,17.90%,9.20%,7.00%,4.80%,2.00%,1.10%,0.40%,0.40%,"12,539","21,216"
