Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Male,SEX AND AGE!!Female,SEX AND AGE!!Under 5 years,SEX AND AGE!!5 to 9 years,SEX AND AGE!!10 to 14 years,SEX AND AGE!!15 to 19 years,SEX AND AGE!!20 to 24 years,SEX AND AGE!!25 to 34 years,SEX AND AGE!!35 to 44 years,SEX AND AGE!!45 to 54 years,SEX AND AGE!!55 to 59 years,SEX AND AGE!!60 to 64 years,SEX AND AGE!!65 to 74 years,SEX AND AGE!!75 to 84 years,SEX AND AGE!!85 years and over,SEX AND AGE!!Median age (years),SEX AND AGE!!18 years and over,SEX AND AGE!!65 years and over,RACE!!White,RACE!!Black or African American,RACE!!American Indian and Alaska Native,RACE!!Asian,RACE!!Native Hawaiian and Other Pacific Islander,RACE!!Some other race
    Percent,"8,024,617",49.10%,50.90%,6.30%,6.30%,6.50%,7.00%,7.00%,13.50%,14.00%,15.10%,6.30%,5.70%,6.90%,3.80%,1.50%,(X),"6,170,996","980,275",71.70%,20.80%,0.90%,6.50%,0.30%,2.80%
Washington,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"6,744,496","3,358,423","3,386,073","438,209","437,222","436,106","458,207","469,095","936,043","911,095","984,611","454,144","389,386","458,368","251,288","120,722",37.2,"5,160,913","830,378","5,573,501","325,148","198,292","605,031","71,049","307,132"
    Percent,"6,744,496",49.80%,50.20%,6.50%,6.50%,6.50%,6.80%,7.00%,13.90%,13.50%,14.60%,6.70%,5.80%,6.80%,3.70%,1.80%,(X),"5,160,913","830,378",82.60%,4.80%,2.90%,9.00%,1.10%,4.60%
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"1,853,973","913,160","940,813","101,877","107,557","108,815","122,953","118,024","217,955","239,097","271,921","140,757","126,411","164,477","97,736","36,393",41.2,"1,467,290","298,606","1,774,445","73,610","22,063","14,155","2,261","7,250"
    Percent,"1,853,973",49.30%,50.70%,5.50%,5.80%,5.90%,6.60%,6.40%,11.80%,12.90%,14.70%,7.60%,6.80%,8.90%,5.30%,2.00%,(X),"1,467,290","298,606",95.70%,4.00%,1.20%,0.80%,0.10%,0.40%
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"5,691,047","2,826,199","2,864,848","355,052","362,759","383,481","402,499","386,961","717,027","724,623","873,392","397,052","308,691","401,693","257,229","120,588",38.5,"4,354,839","779,510","5,059,247","399,951","94,801","155,271","4,000","108,648"
    Percent,"5,691,047",49.70%,50.30%,6.20%,6.40%,6.70%,7.10%,6.80%,12.60%,12.70%,15.30%,7.00%,5.40%,7.10%,4.50%,2.10%,(X),"4,354,839","779,510",88.90%,7.00%,1.70%,2.70%,0.10%,1.90%
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"564,460","287,053","277,407","41,020","38,708","35,838","38,720","39,223","76,868","66,064","84,453","41,929","31,451","40,077","21,040","9,069",36.7,"427,742","70,186","527,926","6,729","23,864","5,164",760,"15,279"
    Percent,"564,460",50.90%,49.10%,7.30%,6.90%,6.30%,6.90%,6.90%,13.60%,11.70%,15.00%,7.40%,5.60%,7.10%,3.70%,1.60%,(X),"427,742","70,186",93.50%,1.20%,4.20%,0.90%,0.10%,2.70%
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,"3,722,133","1,785,266","1,936,867","223,247","236,531","268,378","284,254","264,790","482,756","487,539","486,273","219,460","223,184","313,604","170,712","61,405",37.2,"2,824,489","545,721","3,012,841","762,659","17,864","15,598",555,"422,436"
    Percent,"3,722,133",48.00%,52.00%,6.00%,6.40%,7.20%,7.60%,7.10%,13.00%,13.10%,13.10%,5.90%,6.00%,8.40%,4.60%,1.60%,(X),"2,824,489","545,721",80.90%,20.50%,0.50%,0.40%,0.00%,11.30%
