Label (Grouping),Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Mean income (dollars)
        Estimate,"1,564,959",15.20%,11.50%,20.50%,14.70%,15.30%,13.20%,5.00%,3.20%,0.70%,0.70%,"26,590","36,656"
Oklahoma,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,432,959",8.60%,7.00%,13.40%,12.50%,15.90%,19.00%,10.40%,8.60%,2.50%,2.20%,"42,072","56,533"
    Families,,,,,,,,,,,,,
        Estimate,"954,622",5.50%,4.30%,10.70%,11.30%,16.00%,21.90%,13.20%,11.10%,3.30%,2.80%,"51,958","65,945"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"709,256",2.00%,2.30%,7.50%,9.80%,16.00%,24.60%,16.20%,13.90%,4.20%,3.60%,"61,653","76,423"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"478,337",16.50%,13.10%,19.30%,14.80%,15.00%,12.40%,4.30%,3.10%,0.80%,0.90%,"25,653","35,678"
Oregon,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,507,137",7.80%,6.00%,12.00%,11.80%,15.50%,18.90%,11.50%,10.60%,3.10%,2.70%,"46,560","61,552"
    Families,,,,,,,,,,,,,
        Estimate,"963,362",5.20%,3.20%,9.10%,10.80%,15.30%,20.70%,14.20%,13.60%,4.20%,3.60%,"56,661","71,966"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"733,095",1.80%,2.00%,6.50%,9.10%,15.00%,22.60%,16.50%,16.60%,5.30%,4.50%,"66,179","82,100"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"543,775",14.10%,11.40%,18.50%,13.90%,15.20%,14.40%,6.00%,4.50%,1.10%,0.90%,"28,768","40,280"
Pennsylvania,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"4,936,030",7.60%,6.00%,11.70%,11.10%,14.10%,18.80%,12.00%,11.40%,3.80%,3.40%,"49,288","65,878"
    Families,,,,,,,,,,,,,
        Estimate,"3,197,710",4.40%,3.10%,7.90%,9.50%,14.20%,21.20%,14.80%,15.10%,5.20%,4.60%,"61,890","79,150"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"2,381,094",1.30%,1.40%,5.00%,7.70%,13.20%,22.70%,17.30%,18.70%,6.70%,6.00%,"73,226","91,804"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"1,738,320",14.60%,11.90%,19.50%,14.30%,13.90%,13.70%,6.00%,4.00%,1.10%,1.00%,"27,316","39,156"
Rhode Island,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"402,295",8.50%,5.80%,11.00%,9.70%,12.60%,18.30%,12.80%,12.70%,4.80%,3.90%,"52,254","69,840"
    Families,,,,,,,,,,,,,
        Estimate,"246,028",4.10%,2.50%,8.00%,9.10%,12.10%,19.50%,15.20%,17.10%,6.90%,5.40%,"67,814","85,213"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"173,848",1.00%,1.20%,4.50%,6.80%,10.10%,20.20%,17.90%,21.90%,9.00%,7.30%,"82,676","101,457"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"156,267",16.10%,11.40%,16.90%,10.80%,13.50%,16.20%,7.80%,5.10%,1.00%,1.30%,"30,444","42,952"
South Carolina,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,761,393",9.70%,7.00%,13.90%,11.80%,15.10%,18.20%,10.70%,8.90%,2.50%,2.10%,"42,018","56,365"
    Families,,,,,,,,,,,,,
        Estimate,"1,180,687",6.70%,4.20%,11.10%,10.90%,15.20%,20.40%,13.40%,11.70%,3.30%,2.90%,"51,704","66,125"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"827,387",2.30%,1.90%,7.10%,8.70%,15.20%,23.40%,17.10%,15.70%,4.60%,4.00%,"65,214","79,950"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"580,706",17.10%,13.30%,20.40%,14.00%,14.20%,12.60%,4.70%,2.50%,0.80%,0.50%,"24,553","34,387"
South Dakota,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"318,955",7.90%,6.20%,11.60%,13.10%,15.00%,19.90%,12.30%,9.80%,2.10%,2.30%,"45,904","59,391"
    Families,,,,,,,,,,,,,
        Estimate,"204,029",4.10%,2.60%,8.30%,10.40%,14.30%,24.10%,16.50%,13.70%,2.90%,3.10%,"59,987","72,270"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"161,534",1.60%,1.10%,5.60%,7.80%,13.70%,26.50%,19.70%,16.50%,3.60%,3.80%,"68,672","81,805"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"114,926",15.40%,13.20%,18.60%,18.70%,14.80%,11.60%,4.00%,2.50%,0.40%,0.80%,"26,388","34,547"
Tennessee,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,440,663",9.40%,7.40%,13.40%,12.40%,15.50%,18.20%,10.10%,8.60%,2.50%,2.50%,"41,461","56,835"
    Families,,,,,,,,,,,,,
        Estimate,"1,644,896",6.30%,4.40%,10.80%,11.30%,15.90%,20.60%,12.60%,11.20%,3.30%,3.40%,"51,083","67,011"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,195,406",2.40%,2.50%,7.80%,9.60%,15.50%,23.30%,15.70%,14.60%,4.30%,4.50%,"62,299","78,826"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"795,767",17.20%,14.00%,19.80%,14.40%,14.30%,12.20%,4.30%,2.60%,0.70%,0.60%,"24,305","33,799"
Texas,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"8,738,664",7.80%,5.90%,11.80%,11.20%,14.40%,18.20%,11.40%,11.50%,4.00%,3.80%,"48,615","66,756"
    Families,,,,,,,,,,,,,
        Estimate,"6,091,590",5.40%,4.20%,10.10%,10.40%,14.00%,19.10%,13.10%,13.90%,5.00%,4.80%,"56,575","75,506"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"4,386,996",2.00%,2.50%,7.20%,8.70%,13.00%,20.40%,15.60%,17.70%,6.60%,6.40%,"69,888","88,934"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"2,647,074",15.10%,10.50%,16.30%,13.30%,15.30%,14.90%,6.70%,5.10%,1.50%,1.40%,"30,800","43,466"
Utah,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"880,025",5.30%,4.40%,10.20%,10.00%,15.20%,22.10%,13.70%,13.00%,3.30%,2.80%,"54,744","68,176"
    Families,,,,,,,,,,,,,
        Estimate,"665,964",3.80%,2.60%,7.60%,8.80%,15.10%,23.60%,15.80%,15.20%,4.00%,3.50%,"61,618","75,582"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"543,212",1.70%,1.70%,5.90%,7.80%,14.10%,25.00%,17.50%,17.70%,4.60%,4.10%,"67,713","82,725"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"214,061",11.70%,10.30%,19.60%,14.00%,16.20%,15.90%,5.80%,4.90%,0.80%,0.70%,"30,668","41,336"
Vermont,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"256,922",7.10%,6.20%,11.70%,10.90%,14.60%,19.90%,12.80%,10.60%,3.50%,2.80%,"49,406","63,768"
    Families,,,,,,,,,,,,,
        Estimate,"159,846",3.80%,3.00%,7.60%,9.70%,14.50%,22.00%,16.10%,14.40%,5.00%,3.90%,"62,575","77,453"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"125,678",1.50%,1.60%,5.40%,7.60%,14.30%,22.70%,18.80%,17.20%,6.10%,4.80%,"71,437","87,249"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"97,076",13.40%,12.10%,19.20%,13.60%,14.50%,15.90%,5.90%,4.00%,0.70%,0.80%,"28,936","38,760"
Virginia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,992,732",5.90%,4.40%,9.10%,9.10%,13.20%,17.80%,12.60%,15.00%,6.50%,6.30%,"60,674","81,608"
    Families,,,,,,,,,,,,,
        Estimate,"2,013,520",3.50%,2.60%,7.00%,8.00%,12.10%,18.30%,14.20%,17.70%,8.20%,8.30%,"72,476","94,262"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,517,627",1.10%,1.40%,4.50%,6.00%,10.60%,18.50%,15.80%,21.30%,10.20%,10.50%,"86,354","108,659"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"979,212",12.00%,8.40%,14.10%,12.00%,15.50%,16.20%,8.80%,8.50%,2.50%,2.10%,"37,609","52,618"
Washington,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,606,863",6.60%,4.50%,10.00%,9.90%,13.90%,19.50%,13.50%,13.60%,4.70%,3.80%,"55,631","71,739"
    Families,,,,,,,,,,,,,
        Estimate,"1,681,386",4.20%,2.70%,7.40%,8.10%,12.70%,20.70%,15.80%,17.20%,6.20%,5.00%,"67,328","83,679"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,297,240",1.50%,1.30%,4.90%,6.70%,11.70%,21.40%,18.00%,20.60%,7.60%,6.30%,"77,985","95,186"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"925,477",12.00%,8.20%,15.60%,13.60%,16.30%,16.90%,8.20%,6.20%,1.70%,1.30%,"35,390","46,758"
West Virginia,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"741,940",10.40%,8.10%,15.40%,12.70%,15.40%,17.50%,10.20%,7.50%,1.60%,1.40%,"38,218","50,574"
    Families,,,,,,,,,,,,,
        Estimate,"485,652",6.00%,4.50%,11.70%,12.40%,16.50%,21.20%,13.20%,10.40%,2.20%,1.90%,"48,927","60,523"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"372,301",2.30%,2.70%,9.50%,11.70%,16.70%,23.40%,15.80%,12.90%,2.70%,2.30%,"57,327","68,545"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"256,288",20.10%,15.30%,22.40%,13.30%,12.60%,10.20%,3.60%,1.60%,0.40%,0.50%,"21,018","30,029"
Wisconsin,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"2,279,532",6.30%,5.80%,12.10%,11.50%,15.20%,20.00%,12.80%,11.00%,2.90%,2.40%,"49,001","62,376"
    Families,,,,,,,,,,,,,
        Estimate,"1,453,332",4.00%,3.00%,7.90%,9.30%,14.20%,22.60%,16.50%,15.10%,4.10%,3.30%,"62,088","74,705"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"1,125,314",1.30%,1.30%,4.80%,7.60%,13.10%,24.60%,19.40%,18.60%,5.10%,4.10%,"72,003","85,243"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"826,200",11.80%,11.20%,20.10%,15.30%,16.90%,14.40%,5.60%,3.10%,0.80%,0.60%,"29,375","38,216"
Wyoming,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"222,803",6.00%,5.60%,10.10%,10.10%,14.00%,21.00%,13.70%,13.10%,3.80%,2.50%,"53,512","66,710"
    Families,,,,,,,,,,,,,
        Estimate,"147,394",3.10%,2.30%,6.90%,8.40%,12.40%,24.30%,17.10%,17.00%,5.10%,3.40%,"65,841","79,216"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"119,756",1.10%,0.80%,5.00%,6.40%,11.10%,26.10%,19.50%,20.20%,5.90%,3.90%,"74,294","87,747"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"75,409",12.70%,12.80%,17.50%,14.10%,16.20%,14.40%,6.00%,4.50%,0.90%,0.90%,"29,846","39,218"
Puerto Rico,,,,,,,,,,,,,
    Households,,,,,,,,,,,,,
        Estimate,"1,319,448",29.20%,12.60%,18.40%,12.00%,11.90%,9.20%,3.10%,2.40%,0.60%,0.70%,"18,862","29,365"
    Families,,,,,,,,,,,,,
        Estimate,"966,123",24.80%,11.40%,19.40%,13.10%,13.20%,10.40%,3.60%,2.60%,0.70%,0.80%,"21,645","32,220"
    Married-couple families,,,,,,,,,,,,,
        Estimate,"557,851",14.00%,10.70%,19.30%,14.30%,15.80%,14.40%,5.10%,4.00%,1.10%,1.30%,"29,090","41,090"
    Nonfamily households,,,,,,,,,,,,,
        Estimate,"353,325",45.90%,16.10%,15.90%,7.90%,6.60%,4.40%,1.30%,1.30%,0.30%,0.30%,"11,080","18,812"
